english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,,,,,,
compelling evidence,,"prueba convincente (resolves the Judge's doubts), apremiante (forces the Judge to take a certain stance or decision)",,"Black's: ""compel, vb. (14c) 1. To cause or bring about by force, threats, or overwhelming pressure <a lawyer cannot be compelled to testify about a privileged communication>, 2. (Of a legislative mandate or judicial precedent) to convince (a court) that there is only one possible resolution ofa legal dispute <the wording ofthe statute compels us to affirm>""; the second sense is obviously meant, here.",,,
,,,,,,,
,,,,,,,
competent,,"capaz, capacidad; mentalmente capaz, capacidad mental; capaz de ser procesado",,"As discussed elsewhere (see jurisdiction, venue), 'competencia' is very much a false cognate of 'competence' within the realm of legal terminology. 'competence' in English legal terminology, at least in most court settings, almost always comes up in the context of someone's mental faculties and their ability to understand and participate in the proceedings. Thus we are talking about, generically, 'capacidad mental'. Some Spanish-language sources may refer to 'capacidad moral'; this should be avoided given its obvious judgmental connotation, as well as potential interference when discussing issues regarding moral turpitude.",,,
,,,,,,,
,,,,,,,
concede,,reconocer,,,,,
,,,,,,,
concedes removability (respodent),,reconoce su expulsabilidad,,,,,
,,,,,,,
conclusive evidence ,,prueba conclusiva,,See 'Grounds and Standards of Proof' reference for more.,,,
,,,,,,,
,,,,,,,
conditional grant,,"concesión, otorgamiento condicional",,,"Consider: The same conditional adjustment applies to the dependent child of the respondent receiving adjustment. When the IJ grants conditional adjustment, the IJ should educate the respondent (and the respondent’s spouse, if present) regarding the need to take further action to remove the condition on the respondent’s immigrant status.",,
,,,,,,,
conditional permanent residence,,residencia permanente condicional,,,,,
,,,,,,,
considered a danger to the community,,se le considera un peligro para la comunidad,,,,,
,,,,,,,
consul,,cónsul,,,,,
,,,,,,,
consular processing ,,tramitación consular,,,,,
,,,,,,,
consulate,,consulado,,,,,
,,,,,,,
contempt of court,,"(general) desacato al Tribunal; (being held/found in) contumacia, contumaz; (failure to appear/nonappearance) rebeldía",,"Vease Jowers, p. 345",,,
,,,,,,,
,,,,audiencia... adversarial?,,,
contested hearing,,,,,,,
,,,,,"Added 3-26-26. Research probs required. Context: Finally, the OPPM states that at a contested hearing, the burden is on the alien to establish that it is more likely than not that he or she will be tortured in the country to which removal has been deferred.",,
,,,,,,,
continual residence,,residencia continua,,,,,
,,,,,,,
"continuance (case, hearing)",,aplazamiento,,,,,
,,,,,,,
continuous physical presence,,presencia física continua,,,,,
,,,,,,,
controlled substance,,sustancia controlada,,"Las sustancias reguladas principalmente son sustancias químicas, las contraladas más bien drogas o estupefacientes.",,,
,,,,,,,
,,,,,,,
convict (person),,"que tiene, con antecedentes (penales) (no longer locked up); recluso, preso (currently locked up) ",,,,,
,,,,,,,
(criminal) conviction,,condena,,,,,
,,,,,,,
counsel of record ,,Vease 'attorney of record',,,,,
,,,,,,,
country conditions ,,(informe sobre) las condiciones actuales del país,,,,,
,,,,,,,
country in transit ,,"país de tránsito, país atravesado en tránsito",,,,,
,,,,,,,
country of (last) residence,,país de última residencia,,,,,
,,,,,,,
country of birth,,país de nacimiento,,,,,
,,,,,,,
country of chargeability,,país imputado para la expulsión,,"As per AAs and JLCs of Cleveland, this doesn't sound like 'good' legalese",,,
,,,,,,,
,,,,,,,
country of citizenship,,país de ciudadanía,,,,,
,,,,,,,
country of former allegiance,,país de previa lealtad,,See 'Nationality and Status' reference for more.,,,
,,,,,,,
,,,,,,,
country of nationality,,país de nacionalidad,,,,,
,,,,,,,
country of origin ,,país de origen,,,,,
,,,,,,,
